Actual,Predicted
51.0,54.52251222835415
20.0,56.34796080441936
46.0,55.340010807732924
28.0,55.340010807732924
41.0,55.654832871371994
59.0,55.99081620360081
48.0,54.29233523907405
87.0,55.99081620360081
37.0,56.34796080441936
73.0,55.04635001268359
66.0,55.04635001268359
30.0,55.04635001268359
61.0,54.08331951838368
45.0,54.52251222835415
52.0,55.04635001268359
41.0,54.773850486224
63.0,55.99081620360081
78.0,55.654832871371994
63.0,55.04635001268359
42.0,54.29233523907405
59.0,55.654832871371994
15.0,54.52251222835415
38.0,56.34796080441936
76.0,55.04635001268359
84.0,54.52251222835415
32.0,54.29233523907405
30.0,54.29233523907405
92.0,56.72626667382765
52.0,55.340010807732924
57.0,55.340010807732924
60.0,54.52251222835415
35.0,56.72626667382765
42.0,55.99081620360081
53.0,54.52251222835415
36.0,54.52251222835415
64.0,55.340010807732924
45.0,55.99081620360081
47.0,54.29233523907405
76.0,56.34796080441936
79.0,55.654832871371994
79.0,54.773850486224
74.0,55.04635001268359
69.0,55.99081620360081
93.0,54.29233523907405
72.0,55.654832871371994
64.0,54.773850486224
73.0,54.08331951838368
68.0,54.773850486224
73.0,56.72626667382765
39.0,56.34796080441936
72.0,55.340010807732924
57.0,55.04635001268359
74.0,56.72626667382765
88.0,56.34796080441936
70.0,55.99081620360081
89.0,55.654832871371994
74.0,54.773850486224
86.0,54.773850486224
74.0,54.08331951838368
62.0,55.654832871371994
39.0,55.340010807732924
35.0,55.340010807732924
17.0,54.773850486224
83.0,55.99081620360081
80.0,55.99081620360081
36.0,55.99081620360081
31.0,56.34796080441936
68.0,54.29233523907405
38.0,54.773850486224
70.0,55.340010807732924
61.0,54.08331951838368
93.0,54.773850486224
88.0,56.34796080441936
95.0,56.72626667382765
68.0,54.773850486224
40.0,54.52251222835415
66.0,56.34796080441936
42.0,55.340010807732924
47.0,56.72626667382765
76.0,55.04635001268359
64.0,55.99081620360081
58.0,55.654832871371994
66.0,54.52251222835415
52.0,55.04635001268359
58.0,54.52251222835415
35.0,55.340010807732924
26.0,54.773850486224
81.0,56.72626667382765
69.0,55.340010807732924
27.0,54.29233523907405
20.0,54.52251222835415
23.0,55.04635001268359
33.0,56.72626667382765
78.0,54.52251222835415
95.0,56.72626667382765
80.0,54.29233523907405
67.0,54.773850486224
89.0,54.08331951838368
82.0,54.773850486224
65.0,55.654832871371994
86.0,55.04635001268359
28.0,55.99081620360081
38.0,55.654832871371994
55.0,55.654832871371994
18.0,54.08331951838368
73.0,55.04635001268359
49.0,54.29233523907405
80.0,55.340010807732924
72.0,54.52251222835415
40.0,54.52251222835415
51.0,55.340010807732924
21.0,55.340010807732924
39.0,54.52251222835415
22.0,54.52251222835415
26.0,55.99081620360081
27.0,54.08331951838368
49.0,56.34796080441936
24.0,55.04635001268359
23.0,54.08331951838368
52.0,55.340010807732924
39.0,54.52251222835415
79.0,54.08331951838368
85.0,55.99081620360081
47.0,54.29233523907405
49.0,56.34796080441936
59.0,55.04635001268359
53.0,56.34796080441936
68.0,54.29233523907405
73.0,54.08331951838368
58.0,54.29233523907405
67.0,55.340010807732924
52.0,55.99081620360081
66.0,55.654832871371994
67.0,55.99081620360081
20.0,55.99081620360081
88.0,55.340010807732924
57.0,54.29233523907405
36.0,55.04635001268359
39.0,55.340010807732924
17.0,56.34796080441936
43.0,56.72626667382765
12.0,54.773850486224
43.0,54.08331951838368
47.0,54.29233523907405
63.0,54.52251222835415
40.0,55.654832871371994
37.0,55.99081620360081
67.0,54.29233523907405
20.0,54.29233523907405
29.0,55.99081620360081
40.0,54.773850486224
46.0,54.08331951838368
79.0,54.52251222835415
45.0,54.52251222835415
70.0,55.340010807732924
20.0,56.34796080441936
35.0,54.773850486224
36.0,54.29233523907405
50.0,55.340010807732924
19.0,55.654832871371994
74.0,54.773850486224
30.0,55.340010807732924
67.0,54.773850486224
34.0,56.72626667382765
42.0,56.34796080441936
76.0,54.29233523907405
71.0,54.773850486224
17.0,54.08331951838368
53.0,54.08331951838368
57.0,55.99081620360081
49.0,56.72626667382765
66.0,54.29233523907405
52.0,54.773850486224
60.0,55.340010807732924
85.0,56.34796080441936
39.0,54.08331951838368
43.0,56.34796080441936
76.0,54.29233523907405
57.0,55.654832871371994
52.0,54.29233523907405
38.0,55.99081620360081
43.0,54.52251222835415
57.0,55.99081620360081
29.0,55.99081620360081
58.0,54.08331951838368
54.0,56.34796080441936
75.0,56.34796080441936
48.0,55.99081620360081
36.0,54.773850486224
64.0,54.52251222835415
64.0,55.654832871371994
78.0,55.340010807732924
73.0,55.04635001268359
93.0,56.72626667382765
39.0,54.08331951838368
72.0,54.29233523907405
33.0,54.29233523907405
21.0,54.08331951838368
48.0,54.29233523907405
81.0,56.72626667382765
35.0,55.04635001268359
68.0,56.72626667382765
75.0,56.34796080441936
46.0,55.04635001268359
88.0,55.340010807732924
38.0,56.34796080441936
28.0,56.72626667382765
72.0,55.340010807732924
37.0,55.340010807732924
89.0,56.34796080441936
57.0,54.773850486224
26.0,54.08331951838368
22.0,54.29233523907405
30.0,54.08331951838368
20.0,56.34796080441936
70.0,55.04635001268359
11.0,55.04635001268359
19.0,56.72626667382765
20.0,54.08331951838368
43.0,54.773850486224
47.0,56.72626667382765
46.0,54.29233523907405
78.0,55.654832871371994
26.0,55.340010807732924
25.0,55.340010807732924
47.0,55.654832871371994
28.0,54.29233523907405
41.0,56.72626667382765
59.0,54.08331951838368
72.0,55.04635001268359
82.0,55.04635001268359
63.0,54.52251222835415
35.0,54.52251222835415
82.0,56.34796080441936
82.0,54.29233523907405
65.0,55.04635001268359
63.0,54.08331951838368
17.0,55.99081620360081
62.0,56.72626667382765
39.0,55.654832871371994
40.0,56.34796080441936
61.0,54.08331951838368
45.0,55.99081620360081
74.0,55.654832871371994
70.0,55.340010807732924
72.0,55.340010807732924
57.0,55.99081620360081
46.0,56.34796080441936
43.0,56.34796080441936
75.0,55.04635001268359
38.0,54.773850486224
60.0,55.99081620360081
67.0,54.08331951838368
74.0,56.72626667382765
78.0,55.340010807732924
81.0,54.52251222835415
67.0,55.654832871371994
66.0,56.72626667382765
57.0,54.52251222835415
62.0,54.08331951838368
38.0,55.99081620360081
55.0,55.99081620360081
48.0,54.29233523907405
32.0,55.04635001268359
11.0,54.773850486224
76.0,55.654832871371994
41.0,54.52251222835415
19.0,56.72626667382765
53.0,56.72626667382765
79.0,56.34796080441936
19.0,54.08331951838368
62.0,54.52251222835415
71.0,55.04635001268359
44.0,56.72626667382765
73.0,55.04635001268359
59.0,55.654832871371994
58.0,56.72626667382765
41.0,54.52251222835415
87.0,56.34796080441936
46.0,56.34796080441936
34.0,56.34796080441936
58.0,56.72626667382765
49.0,54.29233523907405
26.0,54.773850486224
37.0,55.654832871371994
71.0,54.08331951838368
50.0,54.52251222835415
62.0,55.04635001268359
52.0,54.08331951838368
51.0,55.99081620360081
65.0,54.29233523907405
69.0,56.72626667382765
69.0,54.08331951838368
31.0,55.340010807732924
40.0,56.34796080441936
36.0,55.654832871371994
74.0,56.72626667382765
78.0,56.72626667382765
68.0,54.52251222835415
69.0,56.34796080441936
37.0,54.08331951838368
76.0,54.29233523907405
21.0,54.29233523907405
48.0,55.99081620360081
50.0,54.08331951838368
47.0,55.04635001268359
24.0,54.52251222835415
